User Utterance,Service,API Request Type,API Request URL,API Request Payload,Test_File,Results_File
Can I see mobile app usage statistics?,Mobile,GET,/api/v3.0/expense/reports,"Group by reportSource, count MOBILE",,
Show me expenses with mobile-captured receipts,Mobile,GET,/api/v3.0/expense/entries,receiptSource=MOBILE,,
What quick expenses were created?,Mobile,GET,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses,Returns all quick expenses,,
Show me expenses flagged for audit,Audit & Compliance,GET,/api/v3.0/expense/reports,concurAuditStatus=AUDI or auditRequired=Y,,
What reports failed audit?,Audit & Compliance,GET,/api/v3.0/expense/reports,concurAuditStatus=FAIL,,
Can I see audit queue?,Audit & Compliance,GET,/api/v3.0/expense/reports,concurAuditStatus=PEND,,
Show me expenses with compliance issues,Audit & Compliance,GET,/api/v3.0/expense/entries,hasException=Y&exceptionType=COMPLIANCE,,
What's the audit pass rate?,Audit & Compliance,GET,/api/v3.0/expense/reports,Calculate PASS vs FAIL ratio,,
Can I see duplicate expense detections?,Audit & Compliance,GET,/api/v3.0/expense/entries,hasException=Y&exceptionType=DUPLICATE,,
Show me expenses missing required fields,Audit & Compliance,GET,/api/v3.0/expense/entries,hasException=Y&exceptionType=MISSING_DATA,,
What reports are in exception queue?,Audit & Compliance,GET,/api/v3.0/expense/reports,hasException=Y,,
Can I see audit trail for a report?,Audit & Compliance,GET,/expensereports/v4/reports/{reportId},Check workflow history,,
Show me reports with processor comments,Audit & Compliance,GET,/expensereports/v4/reports/{reportId},Check comments for processor role,,
Get financial integration data,Financial Integration,GET,/api/v4/financial-integration/fi-docs,Returns FI documents,,
Show me GL postings for approved reports,Financial Integration,GET,/api/v4/financial-integration/fi-docs,status=APPROVED,,
What's ready for export to ERP?,Financial Integration,GET,/api/v4/financial-integration/fi-docs,exportStatus=READY,,
Can I see account coding for expenses?,Financial Integration,GET,/api/v4/financial-integration/fi-docs,Returns account codes,,
Show me exported transactions,Financial Integration,GET,/api/v4/financial-integration/fi-docs,exportStatus=EXPORTED&exportDateAfter={date},,
What reports have GL errors?,Financial Integration,GET,/api/v4/financial-integration/fi-docs,exportStatus=ERROR,,
Can I see payment file data?,Financial Integration,GET,/api/v4/financial-integration/fi-docs,documentType=PAYMENT,,
Show me tax details for integration,Financial Integration,GET,/api/v4/financial-integration/fi-docs,Include tax breakdown,,
What's pending for financial approval?,Financial Integration,GET,/api/v4/financial-integration/fi-docs,status=PENDING_PROCESSOR,,
Can I see journal entry details?,Financial Integration,GET,/api/v4/financial-integration/fi-docs,documentType=JOURNAL,,
Show me my expense report history,Expense Reports,GET,/api/v3.0/expense/reports,"user=me&limit=100, sort by submitDate DESC",,
What's my average monthly expense spending?,Expense Reports,GET,/api/v3.0/expense/reports,"user=me&submitDateAfter={6MonthsAgo}, calculate monthly average",,
Show me expenses with custom field Project Alpha,Expense Entries,GET,/api/v3.0/expense/entries,customField[projectCode]=ALPHA,,
Can I see my year-to-date expense summary?,Reporting,GET,/api/v3.0/expense/reports,"user=me&submitDateAfter={yearStart}, aggregate by category",,
What expense reports need my signature?,Workflows,GET,/expensereports/v4/users/{userId}/context/MANAGER/reportsToApprove,Filter for reports requiring approver signature,,
Show me all pending travel bookings,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,tripStatus=PENDING&startDate>={today},,
What's my employee reimbursement balance?,Expense Reports,GET,/expensereports/v4/reports,"approvalStatus=APPROVED, sum AmountDueEmployee - paymentStatus=PAID",,
Can I see expenses by GL account code?,Financial Integration,GET,/api/v4/financial-integration/fi-docs,"Group by accountCode, aggregate amounts",,
Show me my delegate report approvals,Workflows,GET,/expensereports/v4/users/{userId}/context/MANAGER/reportsToApprove,Filter for reports where acting as delegate,,
What expense violations occurred this month?,Audit & Compliance,GET,/api/v3.0/expense/entries,"hasException=Y&transactionDateAfter={monthStart}, group by exception type",,
Can I see my credit card statement reconciliation?,Corporate Cards,GET,/api/v4/cards/transactions,"accountId={accountId}, compare matched vs unmatched counts",,
